concept_id_1	concept_id_2	relationship_id	valid_start_date	valid_end_date	invalid_reason
4113727	4115894	Has interprets	20110731	20991231	
4114637	4184454	Has dir proc site	20110731	20991231	
4134764	4180339	Has part of	20110731	20991231	
319825	4217142	Has finding site	20110731	20991231	
4342537	4303047	Has dir proc site	20110731	20991231	
4029697	4044182	Has method	20110731	20991231	
4172798	4177737	Has part of	20110731	20991231	
4020428	4078068	Has asso morph	20110731	20991231	
444083	4253786	Has finding site	20110731	20991231	
4128873	4288283	Has indir proc site	20110731	20991231	
4079256	4043842	Has method	20110731	20991231	
4053581	4304172	Has active ing	20110731	20991231	
4264694	4212193	Has asso morph	20110731	20991231	
4154940	4307671	Has finding site	20110731	20991231	
4305996	4171232	Using finding inform	20110731	20991231	
4001558	4034289	Has dir proc site	20110731	20991231	
4239955	4053015	Has asso morph	20110731	20991231	
4143454	4217027	Interprets of	20110731	20991231	
4305589	4242818	Asso morph of	20110731	20991231	
4008119	4036174	Interprets of	20110731	20991231	
4173266	4269928	Has asso morph	20110731	20991231	
4107240	4163835	Has asso morph	20110731	20991231	
4083809	4185891	Has part of	20110731	20991231	
40481087	4177956	Has causative agent	20110731	20991231	
4179235	443388	Has asso finding	20110731	20991231	
4183357	4098214	Has interprets	20110731	20991231	
4073254	4129646	Has intent	20110731	20991231	
40492791	4080877	Has method	20110731	20991231	
4346063	4237147	Using subst	20110731	20991231	
4253045	4177256	Has part of	20110731	20991231	
4109986	4109983	Has interprets	20110731	20991231	
4260523	4044545	Has method	20110731	20991231	
4312220	4140159	Has method	20110731	20991231	
138525	4282006	Has finding site	20110731	20991231	
4034456	4284108	Has dir proc site	20110731	20991231	
4193195	4124244	Method of	20110731	20991231	
4224098	4106856	Asso morph of	20110731	20991231	
4202615	4264512	Subsumes	20110731	20991231	
4006278	4116830	Has occurrence	20110731	20991231	
4290730	4208643	Has causative agent	20110731	20991231	
4183116	4078373	Has asso morph	20110731	20991231	
4132860	4262229	Has dir proc site	20110731	20991231	
4083941	4112718	Has part of	20110731	20991231	
4138735	4045049	Has method	20110731	20991231	
4153587	4199587	Has causative agent	20110731	20991231	
4216201	4187662	Has asso morph	20110731	20991231	
4018362	4178756	Has asso morph	20110731	20991231	
444073	4320144	Has finding site	20110731	20991231	
4295305	4219601	Has finding site	20110731	20991231	
4021390	4044177	Has method	20110731	20991231	
4322327	4236533	Has part of	20110731	20991231	
4326179	4295507	Has dose form	20110731	20991231	
4295937	4115483	Proc context of	20110731	20991231	
4201409	4191480	Method of	20110731	20991231	
4020854	4044177	Has method	20110731	20991231	
40490495	4271678	Has dir proc site	20110731	20991231	
4333886	4120966	Has specimen proc	20110731	20991231	
4267276	4025356	Has component	20110731	20991231	
4021925	4043866	Has method	20110731	20991231	
4042232	4042902	Has interprets	20110731	20991231	
4107672	4196657	Has finding site	20110731	20991231	
4112563	4279057	Laterality of	20110731	20991231	
4120136	4237113	Part of	20110731	20991231	
4120302	4175807	Occurs before	20110731	20991231	
4148408	4253628	Has finding context	20110731	20991231	
4301455	4124377	Has dir device	20110731	20991231	
4192936	4148637	Has component	20110731	20991231	
4045977	40480911	Has pathology	20110731	20991231	
252235	4035081	Has causative agent	20110731	20991231	
4044525	40493259	Method of	20110731	20991231	
4240527	4308855	Finding site of	20110731	20991231	
4135493	4058190	Interpretation of	20110731	20991231	
4044034	4165587	Dir proc site of	20110731	20991231	
4129406	4107083	Has finding site	20110731	20991231	
440417	4210041	Has asso morph	20110731	20991231	
4223950	4134295	Has asso morph	20110731	20991231	
4116830	4231315	Occurrence of	20110731	20991231	
4251146	4332643	Is a	20110731	20991231	
4008117	4044177	Has method	20110731	20991231	
4132600	4157866	Has finding site	20110731	20991231	
4045262	4032243	Finding asso with	20110731	20991231	
4269776	4074816	Has dir proc site	20110731	20991231	
4254917	4044698	Has method	20110731	20991231	
4106535	4224098	Has asso morph	20110731	20991231	
4238178	4091233	Part of	20110731	20991231	
4112563	4033544	Laterality of	20110731	20991231	
4112693	40486547	Finding site of	20110731	20991231	
4132507	4192270	Temporal context of	20110731	20991231	
4207470	4118599	Method of	20110731	20991231	
375547	4335606	Due to of	20110731	20991231	
4136315	4170340	Causative agent of	20110731	20991231	
4022446	4082815	Finding site of	20110731	20991231	
4001225	4098354	Specimen of	20110731	20991231	
4097825	4042556	Device used by	20110731	20991231	
4237655	4109883	Finding site of	20110731	20991231	
4005977	4172660	Dir proc site of	20110731	20991231	
4216913	4166166	Causative agent of	20110731	20991231	
4001181	4191115	Specimen of	20110731	20991231	
4253628	4180113	Finding context of	20110731	20991231	
4218351	4157427	Active ing of	20110731	20991231	
4200396	4332521	Specimen topo of	20110731	20991231	
4217884	4174620	Causative agent of	20110731	20991231	
4113232	4200409	Method of	20110731	20991231	
4175690	4142310	Part of	20110731	20991231	
4046280	4147864	Specimen of	20110731	20991231	
4172591	4106890	Finding site of	20110731	20991231	
4302112	4263697	Finding site of	20110731	20991231	
4118107	4279679	Part of	20110731	20991231	
4240345	4039776	Finding method of	20110731	20991231	
4053015	440736	Asso morph of	20110731	20991231	
4142359	4043029	Proc site of	20110731	20991231	
4059236	4059237	Interprets of	20110731	20991231	
4044525	4309433	Method of	20110731	20991231	
4294379	4333273	Indir proc site of	20110731	20991231	
4198996	4314532	Causative agent of	20110731	20991231	
4029142	4029933	Dir proc site of	20110731	20991231	
4153379	4125135	Interpretation of	20110731	20991231	
4222390	4225392	Finding site of	20110731	20991231	
4212244	4015599	Component of	20110731	20991231	
4259510	4129475	Temporal context of	20110731	20991231	
4214069	4217562	Active ing of	20110731	20991231	
4061414	4117242	Finding site of	20110731	20991231	
4209428	4110886	Finding site of	20110731	20991231	
4080846	4180340	Has part of	20110731	20991231	
4032208	4256767	Active ing of	20110731	20991231	
4266390	4288751	Is a	20110731	20991231	
4005506	4326835	Is a	20110731	20991231	
4172603	4078369	Is a	20110731	20991231	
4066511	4128359	Is a	20110731	20991231	
4165468	4163066	Is a	20110731	20991231	
40478920	4190154	Is a	20110731	20991231	
4085665	4272256	Is a	20110731	20991231	
442930	4066454	Is a	20110731	20991231	
4030924	4195373	Is a	20110731	20991231	
4237596	4142359	Is a	20110731	20991231	
4274566	4235000	Is a	20110731	20991231	
4107333	4113009	Is a	20110731	20991231	
4076990	4220836	Is a	20110731	20991231	
4084607	4270833	Is a	20110731	20991231	
4138167	4144471	Is a	20110731	20991231	
